customer_id,purchase_frequency,total_amount,recency,customer_lifetime,clv
C0100005261,4,746.0,189,167,746.0
C0100005306,4,456.48,36,325,456.48
C0100005361,3,214.98000000000002,169,192,214.98000000000002
C0100005451,5,321.98,155,185,321.98
C0100005540,5,486.98,29,304,486.98
C0100005593,3,267.0,113,184,267.0
C0100005672,1,79.0,273,0,79.0
C0100005700,1,94.0,59,0,94.0
C0100005725,3,397.0,26,242,397.0
C0100005753,2,348.0,58,84,348.0
C0100005839,4,353.99,101,214,353.99
C0100005906,9,854.95,29,311,854.95
C0100005922,10,642.4300000000001,55,275,642.4300000000001
C0100005950,4,410.96999999999997,45,279,410.96999999999997
C0100005989,5,118.46,55,303,118.46
C0100006011,2,168.0,91,89,168.0
C0100006057,3,318.98,233,41,318.98
C0100006104,2,278.99,209,102,278.99
C0100006171,2,648.0,296,54,648.0
C0100006183,2,223.0,311,52,223.0
C0100006321,3,320.98,251,36,320.98
C0100006369,2,548.0,122,210,548.0
C0100006432,1,259.0,174,0,259.0
C0100006476,4,239.96,116,215,239.96
C0100006493,5,239.93,19,197,239.93
C0100006506,3,252.0,129,212,252.0
C0100006531,2,543.0,27,102,543.0
C0100006559,4,344.96999999999997,55,217,344.96999999999997
C0100006569,3,251.99,8,199,251.99
C0100006570,2,139.98,58,205,139.98
C0100006664,3,213.99,220,129,213.99
C0100006701,2,248.0,99,82,248.0
C0100006739,4,257.98,24,106,257.98
C0100006744,13,1070.39,12,314,1070.39
C0100006792,34,774.1999999999999,49,311,774.1999999999999
C0100006844,3,407.0,172,85,407.0
C0100006863,4,402.98,191,77,402.98
C0100006884,3,347.99,20,312,347.99
C0100006925,3,888.98,24,83,888.98
C0100006929,3,427.99,54,93,427.99
C0100007015,4,386.99,163,84,386.99
C0100007101,3,407.0,82,248,407.0
C0100007186,4,430.44,72,196,430.44
C0100007365,2,137.99,47,232,137.99
C0100007380,2,128.99,297,15,128.99
C0100007407,4,172.47,17,307,172.47
C0100007428,6,795.98,56,107,795.98
C0100007515,3,103.98,142,32,103.98
C0100007592,2,99.94,297,28,99.94
C0100007661,4,467.98,58,302,467.98
C0100007845,4,194.98,58,118,194.98
C0100007935,3,454.99,80,152,454.99
C0100007941,1,339.0,206,0,339.0
C0100007981,4,896.99,101,132,896.99
C0100008029,2,748.0,233,69,748.0
C0100008119,6,1137.97,46,277,1137.97
C0100008198,44,822.51,3,332,822.51
C0100008251,3,147.99,205,60,147.99
C0100008334,4,703.98,18,236,703.98
C0100008360,3,587.0,21,291,587.0
C0100008441,3,93.98,108,101,93.98
C0100008484,3,98.97999999999999,173,168,98.97999999999999
C0100008540,2,204.94,2,23,204.94
C0100008584,2,418.0,218,80,418.0
C0100008596,6,859.99,54,294,859.99
C0100008653,5,1329.98,15,313,1329.98
C0100008746,3,798.98,0,331,798.98
C0100008789,2,98.99,148,185,98.99
C0100008795,27,741.69,19,309,741.69
C0100008860,16,570.37,21,296,570.37
C0100008875,2,628.0,13,111,628.0
C0100008882,17,785.35,14,346,785.35
C0100008975,6,1459.98,6,320,1459.98
C0100009089,3,133.9,213,92,133.9
C0100009109,4,337.47,147,208,337.47
C0100009163,2,178.0,21,310,178.0
C0100009212,1,179.0,181,0,179.0
C0100009283,3,50.47,235,127,50.47
C0100009350,6,176.95999999999998,14,290,176.95999999999998
C0100009434,2,368.0,216,140,368.0
C0100009523,4,268.93,6,352,268.93
C0100009596,1,169.99,169,0,169.99
C0100009620,3,467.0,104,179,467.0
C0100009628,3,133.94,36,99,133.94
C0100009697,4,341.99,60,284,341.99
C0100009738,4,103.92,34,205,103.92
C0100009779,2,54.94,170,116,54.94
C0100009847,4,191.98,203,153,191.98
C0100009936,6,243.46,151,157,243.46
C0100009974,4,253.99,71,253,253.99
C0100010000,6,156.45,26,278,156.45
C0100010096,7,1143.99,58,298,1143.99
C0100010111,2,238.99,178,124,238.99
C0100010115,4,306.99,131,193,306.99
C0100010135,5,618.98,114,239,618.98
C0100010214,1,299.0,63,0,299.0
C0100010254,5,532.97,33,225,532.97
C0100010322,3,367.0,173,122,367.0
C0100010381,3,357.99,201,46,357.99
C0100010425,3,197.99,282,72,197.99
C0100010517,3,99.89,179,184,99.89
C0100010605,32,983.19,18,336,983.19
C0100010635,30,632.73,20,342,632.73
C0100010701,3,243.99,28,84,243.99
C0100010706,3,817.0,202,107,817.0
C0100010723,3,86.97,301,30,86.97
C0100010810,2,208.0,229,1,208.0
C0100010871,3,268.94,29,288,268.94
C0100010872,3,397.99,13,224,397.99
C0100010948,3,192.95,52,305,192.95
C0100011031,2,323.0,185,26,323.0
C0100011037,2,438.99,181,161,438.99
C0100011141,2,293.99,147,35,293.99
C0100011178,4,262.98,53,250,262.98
C0100011221,3,147.99,18,159,147.99
C0100011269,2,149.98,115,88,149.98
C0100011320,3,298.98,51,132,298.98
C0100011364,3,732.99,30,255,732.99
C0100011448,3,318.98,29,24,318.98
C0100011592,3,172.99,2,322,172.99
C0100011659,1,84.99,269,0,84.99
C0100011730,3,357.99,174,64,357.99
C0100011814,2,328.0,192,47,328.0
C0100011833,4,371.0,150,205,371.0
C0100011906,3,477.95,29,295,477.95
C0100011948,3,747.0,203,89,747.0
C0100011973,3,457.99,22,139,457.99
C0100012006,34,1117.69,26,328,1117.69
C0100012024,42,1092.63,21,338,1092.63
C0100012101,5,526.98,54,273,526.98
C0100012109,4,507.98,49,203,507.98
C0100012143,3,557.0,14,74,557.0
C0100012178,2,698.0,80,268,698.0
C0100012211,27,477.75,0,356,477.75
C0100012268,33,1016.61,8,352,1016.61
C0100012351,5,488.98,25,338,488.98
C0100012375,3,367.99,148,57,367.99
C0100012379,1,129.0,133,0,129.0
C0100012479,2,298.99,26,58,298.99
C0100012501,4,399.99,81,221,399.99
C0100012502,2,208.99,89,182,208.99
C0100012540,2,538.0,7,42,538.0
C0100012546,4,503.99,146,124,503.99
C0100012606,3,317.99,114,239,317.99
C0100012656,41,1150.08,3,359,1150.08
C0100012691,2,298.0,57,163,298.0
C0100012741,2,1028.0,169,77,1028.0
C0100012834,3,1047.99,51,278,1047.99
C0100012990,4,352.98,66,237,352.98
C0100013003,4,726.0,60,233,726.0
C0100013055,4,746.99,81,238,746.99
C0100013115,1,149.0,149,0,149.0
C0100013189,6,213.91,29,325,213.91
C0100013267,3,487.99,38,225,487.99
C0100013391,2,88.99,11,81,88.99
C0100013441,4,327.98,264,96,327.98
C0100013496,4,250.48,247,110,250.48
C0100013549,5,481.97,45,263,481.97
C0100013619,2,628.0,142,1,628.0
C0100013708,1,179.0,197,0,179.0
C0100013765,2,268.0,134,175,268.0
C0100013797,22,423.8,29,334,423.8
C0100013812,23,630.21,37,309,630.21
C0100013904,46,1076.07,8,354,1076.07
C0100013911,21,488.79,14,327,488.79
C0100013961,6,89.95,80,273,89.95
C0100014032,16,548.86,41,321,548.86
C0100014047,2,88.99000000000001,152,27,88.99000000000001
C0100014088,2,288.99,30,201,288.99
C0100014099,2,128.99,49,307,128.99
C0100014170,2,64.94,97,189,64.94
C0100014240,2,333.0,83,112,333.0
C0100014256,30,1521.68,0,359,1521.68
C0100014321,17,1427.89,50,313,1427.89
C0100014379,4,259.98,10,254,259.98
C0100014451,3,302.99,12,325,302.99
C0100014505,4,427.98,40,203,427.98
C0100014531,2,273.99,18,287,273.99
C0100014610,4,160.97,221,118,160.97
C0100014660,2,143.0,250,50,143.0
C0100014706,4,446.99,172,182,446.99
C0100014773,2,308.0,258,21,308.0
C0100014780,3,587.99,59,295,587.99
C0100014792,2,443.0,111,125,443.0
C0100014844,2,568.0,63,119,568.0
C0100014847,2,188.0,203,155,188.0
C0100015025,3,472.0,50,172,472.0
C0100015103,53,1015.96,9,355,1015.96
C0100015127,43,1129.02,6,347,1129.02
C0100015204,3,346.48,5,205,346.48
C0100015293,2,158.99,142,45,158.99
C0100015327,4,253.97,87,186,253.97
C0100015415,2,298.99,112,250,298.99
C0100015471,2,338.99,196,115,338.99
C0100015508,3,322.94,66,258,322.94
C0100015569,3,657.95,5,137,657.95
C0100015653,4,636.99,76,119,636.99
C0100015705,2,158.99,125,218,158.99
C0100015762,4,313.98,87,195,313.98
C0100015874,3,175.94,93,209,175.94
C0100015958,3,352.0,55,263,352.0
C0100015979,4,298.99,198,157,298.99
C0100016001,24,1072.77,26,331,1072.77
C0100016032,34,1570.71,1,360,1570.71
C0100016082,3,507.0,38,293,507.0
C0100016095,4,294.99,16,301,294.99
C0100016134,5,416.98,30,283,416.98
C0100016189,3,171.98,44,250,171.98
C0100016215,4,242.9,12,227,242.9
C0100016280,7,444.45,97,193,444.45
C0100016373,16,442.37,26,334,442.37
C0100016377,2,378.0,106,113,378.0
C0100016421,3,152.99,3,171,152.99
C0100016556,3,507.99,110,151,507.99
C0100016632,2,93.95,179,0,93.95
C0100016634,4,346.99,176,31,346.99
C0100016774,3,323.99,82,170,323.99
C0100016781,36,1189.14,14,341,1189.14
C0100016812,9,1141.95,28,333,1141.95
C0100016890,3,322.99,84,64,322.99
C0100017022,2,42.98,91,205,42.98
C0100017045,1,39.95,271,0,39.95
C0100017104,2,228.95,100,24,228.95
C0100017132,45,1084.04,15,347,1084.04
C0100017209,2,854.99,30,81,854.99
C0100017267,3,603.94,24,247,603.94
C0100017280,1,199.0,155,0,199.0
C0100017360,4,492.98,178,144,492.98
C0100017429,40,521.12,32,316,521.12
C0100017494,2,918.0,105,248,918.0
C0100017609,6,1086.93,124,178,1086.93
C0100017631,1,249.0,24,0,249.0
C0100017715,3,347.0,196,138,347.0
C0100017797,3,401.94,60,295,401.94
C0100017830,2,498.0,271,47,498.0
C0100017880,4,406.98,7,237,406.98
C0100017883,1,349.0,45,0,349.0
C0100017888,3,857.0,116,227,857.0
C0100017962,5,486.94,74,133,486.94
C0100018023,3,243.98000000000002,175,75,243.98000000000002
C0100018063,2,248.99,52,281,248.99
C0100018122,1,9.99,204,0,9.99
C0100018155,3,487.99,24,207,487.99
C0100018213,3,194.99,22,274,194.99
C0100018295,4,463.97,15,163,463.97
C0100018359,3,747.0,32,207,747.0
C0100018451,3,218.98000000000002,172,100,218.98000000000002
C0100018519,4,223.97,194,164,223.97
C0100018557,1,109.0,236,0,109.0
C0100018605,2,328.0,6,167,328.0
C0100018670,3,467.0,1,139,467.0
C0100018708,4,341.99,148,118,341.99
C0100018793,2,598.0,154,17,598.0
C0100018798,3,252.99,118,240,252.99
C0100018855,5,221.92000000000002,110,246,221.92000000000002
C0100018896,1,129.0,210,0,129.0
C0100019010,3,148.9,10,170,148.9
C0100019076,2,768.0,19,253,768.0
C0100019102,4,431.0,4,353,431.0
C0100019192,2,368.0,122,11,368.0
C0100019216,1,79.0,187,0,79.0
C0100019269,1,269.0,228,0,269.0
C0100019354,2,1338.0,36,118,1338.0
C0100019584,3,303.98,172,141,303.98
C0100019643,3,337.99,91,218,337.99
C0100019693,4,233.99,85,271,233.99
C0100019754,3,143.98000000000002,27,182,143.98000000000002
C0100019831,2,128.0,39,56,128.0
C0100019876,2,378.0,178,110,378.0
C0100020034,13,1057.3899999999999,37,324,1057.3899999999999
C0100020092,1,219.0,191,0,219.0
C0100020137,5,316.92,7,284,316.92
C0100020160,5,595.99,19,263,595.99
C0100020276,35,869.2,1,361,869.2
C0100020301,23,855.82,9,323,855.82
C0100020340,49,992.05,0,362,992.05
C0100020366,35,714.13,19,311,714.13
C0100020376,2,1108.0,142,158,1108.0
C0100020396,3,242.99,177,168,242.99
C0100020484,23,663.71,22,302,663.71
C0100020498,48,708.5500000000001,12,324,708.5500000000001
C0100020537,1,59.0,284,0,59.0
C0100020597,4,144.47,80,103,144.47
C0100020636,30,790.71,30,324,790.71
C0100020641,14,551.34,23,313,551.34
C0100020714,3,367.99,52,137,367.99
C0100020804,2,328.99,326,22,328.99
C0100020808,4,437.98,85,222,437.98
C0100020836,1,8.99,62,0,8.99
C0100020892,1,94.0,252,0,94.0
C0100020945,4,401.95,52,273,401.95
C0100020946,3,223.98,117,181,223.98
C0100021088,2,283.0,94,27,283.0
C0100021111,2,653.0,236,65,653.0
C0100021121,3,347.0,82,244,347.0
C0100021204,26,568.28,28,297,568.28
C0100021216,23,822.3,2,361,822.3
C0100021292,2,618.0,112,4,618.0
C0100021360,3,229.96999999999997,35,178,229.96999999999997
C0100021448,2,208.95,26,336,208.95
C0100021623,3,347.95,27,265,347.95
C0100021686,3,832.95,98,219,832.95
C0100021752,3,527.0,107,174,527.0
C0100021825,6,1475.98,24,333,1475.98
C0100021829,5,870.99,26,247,870.99
C0100021856,4,562.98,21,186,562.98
C0100021892,3,172.99,13,327,172.99
C0100021905,1,64.0,309,0,64.0
C0100021923,4,144.88,26,314,144.88
C0100021941,2,848.0,108,6,848.0
C0100021970,2,508.0,216,49,508.0
C0100022041,1,99.0,270,0,99.0
C0100022105,5,268.91999999999996,15,226,268.91999999999996
C0100022141,4,232.47,204,23,232.47
C0100022191,2,128.98,183,38,128.98
C0100022269,2,118.0,116,85,118.0
C0100022275,4,987.98,78,264,987.98
C0100022505,3,187.0,57,239,187.0
C0100022745,2,238.99,58,122,238.99
C0100022811,4,323.97,89,195,323.97
C0100022824,4,324.92,23,244,324.92
C0100022847,2,388.0,85,60,388.0
C0100022920,4,292.94,58,262,292.94
C0100022923,4,785.48,2,97,785.48
C0100022971,2,1108.0,50,28,1108.0
C0100023014,3,457.99,239,123,457.99
C0100023016,5,146.95,49,248,146.95
C0100023024,4,230.97,34,293,230.97
C0100023089,3,307.95,25,185,307.95
C0100023132,2,248.0,268,22,248.0
C0100023186,4,167.94,114,229,167.94
C0100023232,2,17.48,32,19,17.48
C0100023305,2,183.99,218,139,183.99
C0100023334,1,659.0,172,0,659.0
C0100023389,2,128.95,183,0,128.95
C0100023515,2,73.99,103,75,73.99
C0100023595,1,69.99,5,0,69.99
C0100023634,2,308.99,181,93,308.99
C0100023637,3,237.0,49,313,237.0
C0100023706,2,409.0,327,2,409.0
C0100023787,3,75.93,88,245,75.93
C0100023879,3,86.94,287,74,86.94
C0100023920,23,367.29,19,344,367.29
C0100023981,44,602.07,24,339,602.07
C0100024074,3,207.99,44,106,207.99
C0100024100,3,163.9,129,151,163.9
C0100024147,4,372.98,20,336,372.98
C0100024159,4,200.48,180,86,200.48
C0100024169,3,592.0,34,127,592.0
C0100024199,4,560.99,26,181,560.99
C0100024213,4,161.48,24,281,161.48
C0100024291,6,478.91,6,325,478.91
C0100024342,2,228.0,219,81,228.0
C0100024438,2,148.0,116,188,148.0
C0100024481,4,391.0,52,248,391.0
C0100024573,3,447.0,25,220,447.0
C0100024583,3,287.0,56,186,287.0
C0100024714,3,1044.99,108,75,1044.99
C0100024775,1,99.0,360,0,99.0
C0100024862,5,369.98,24,330,369.98
C0100024913,3,219.99,8,267,219.99
C0100024964,5,667.98,116,248,667.98
C0100025033,3,1100.99,194,163,1100.99
C0100025113,5,267.93,16,160,267.93
C0100025153,2,127.99,141,31,127.99
C0100025342,2,158.99,71,79,158.99
C0100025376,4,591.0,214,147,591.0
C0100025442,2,188.0,242,27,188.0
C0100025476,1,19.99,300,0,19.99
C0100025501,3,694.98,63,241,694.98
C0100025567,1,69.0,173,0,69.0
C0100025626,3,387.0,26,118,387.0
C0100025666,3,817.0,114,122,817.0
C0100025684,2,188.0,170,70,188.0
C0100025785,7,1303.96,10,304,1303.96
C0100025804,18,856.2900000000001,25,333,856.2900000000001
C0100025837,1,349.0,47,0,349.0
C0100025848,5,351.94,88,243,351.94
C0100025861,3,237.99,84,32,237.99
C0100025932,5,386.98,99,227,386.98
C0100026018,43,598.58,3,353,598.58
C0100026071,18,482.81,7,335,482.81
C0100026120,3,94.98,74,226,94.98
C0100026206,4,160.47,149,177,160.47
C0100026244,3,397.0,34,325,397.0
C0100026286,5,488.94,9,267,488.94
C0100026346,2,308.99,321,14,308.99
C0100026428,3,287.99,121,30,287.99
C0100026513,1,249.0,241,0,249.0
C0100026570,4,501.99,25,159,501.99
C0100026579,4,329.47,225,108,329.47
C0100026587,3,207.99,151,179,207.99
C0100026611,2,153.0,134,160,153.0
C0100026703,1,79.0,271,0,79.0
C0100026762,2,498.99,182,76,498.99
C0100026794,4,1112.94,88,166,1112.94
C0100026795,7,529.95,6,266,529.95
C0100026850,12,389.90999999999997,51,291,389.90999999999997
C0100026861,17,532.84,31,299,532.84
C0100026889,2,268.0,199,36,268.0
C0100026948,1,149.99,117,0,149.99
C0100026955,28,1065.26,27,335,1065.26
C0100027004,46,1328.08,2,359,1328.08
C0100027092,4,341.99,254,102,341.99
C0100027110,2,183.0,45,24,183.0
C0100027263,3,186.97000000000003,176,175,186.97000000000003
C0100027289,22,287.29,23,336,287.29
C0100027296,36,1326.68,32,325,1326.68
C0100027367,4,345.98,40,308,345.98
C0100027375,4,341.97,41,220,341.97
C0100027542,1,299.0,94,0,299.0
C0100027582,4,556.95,12,291,556.95
C0100027643,5,1677.97,28,245,1677.97
C0100027651,5,271.97,24,329,271.97
C0100027679,3,1267.99,12,135,1267.99
C0100027744,2,338.0,142,67,338.0
C0100027774,2,65.99,21,248,65.99
C0100027795,4,498.97,0,204,498.97
C0100027879,1,149.0,297,0,149.0
C0100027907,1,249.0,119,0,249.0
C0100027918,5,597.47,116,188,597.47
C0100027957,4,446.95,109,194,446.95
C0100028048,1,599.0,98,0,599.0
C0100028129,3,1707.0,76,52,1707.0
C0100028141,31,745.17,28,334,745.17
C0100028230,27,531.75,32,327,531.75
C0100028356,2,168.0,238,44,168.0
C0100028362,4,128.92000000000002,50,312,128.92000000000002
C0100028413,3,247.99,180,122,247.99
C0100028512,3,347.0,30,205,347.0
C0100028528,3,425.99,55,147,425.99
C0100028600,2,67.99,9,201,67.99
C0100028757,3,193.98,271,91,193.98
C0100028780,1,299.0,175,0,299.0
C0100028868,2,248.0,216,83,248.0
C0100028916,2,223.0,87,28,223.0
C0100029044,2,178.0,118,34,178.0
C0100029112,4,412.99,29,295,412.99
C0100029196,3,363.94,132,112,363.94
C0100029309,4,209.49,113,214,209.49
C0100029312,5,190.95999999999998,49,277,190.95999999999998
C0100029328,3,297.99,174,99,297.99
C0100029353,3,1007.0,117,222,1007.0
C0100029479,5,264.96,21,189,264.96
C0100029548,3,777.99,36,114,777.99
C0100029606,3,297.99,37,296,297.99
C0100029665,19,1338.86,4,341,1338.86
C0100029700,39,774.14,13,291,774.14
C0100029736,13,384.4,28,315,384.4
C0100029761,12,697.91,18,320,697.91
C0100029775,19,580.82,11,289,580.82
C0100029821,23,911.26,32,332,911.26
C0100029914,9,35.910000000000004,1,295,35.910000000000004
C0100029992,3,141.98,119,244,141.98
C0100030016,2,373.0,55,282,373.0
C0100030036,4,566.99,72,266,566.99
C0100030106,2,398.99,102,41,398.99
C0100030155,3,362.99,71,104,362.99
C0100030162,3,272.0,18,154,272.0
C0100030226,4,596.0,62,284,596.0
C0100030342,3,146.99,77,173,146.99
C0100030466,2,158.0,30,240,158.0
C0100030593,3,364.48,112,243,364.48
C0100030643,1,59.99,319,0,59.99
C0100030715,4,158.96,54,109,158.96
C0100030789,3,192.99,28,272,192.99
C0100030909,4,378.93,11,198,378.93
C0100030975,3,264.97,85,180,264.97
C0100031030,3,1047.0,18,336,1047.0
C0100031041,2,143.99,241,113,143.99
C0100031080,5,364.48,30,300,364.48
C0100031092,3,334.99,53,69,334.99
C0100031160,3,318.94,13,222,318.94
C0100031180,2,73.97999999999999,59,165,73.97999999999999
C0100031209,5,457.98,8,260,457.98
C0100031294,3,362.0,58,286,362.0
C0100031383,4,253.97,54,300,253.97
C0100031466,3,282.0,22,69,282.0
C0100031493,2,438.0,23,180,438.0
C0100031634,5,620.95,132,125,620.95
C0100031684,4,351.98,75,71,351.98
C0100031691,2,248.0,142,156,248.0
C0100031728,3,587.99,148,131,587.99
C0100031746,2,638.0,11,146,638.0
C0100031758,4,663.99,11,282,663.99
C0100031814,2,208.0,205,123,208.0
C0100031821,2,475.99,53,181,475.99
C0100031875,3,111.92999999999999,60,174,111.92999999999999
C0100031928,4,229.97,154,179,229.97
C0100032095,3,422.99,211,130,422.99
C0100032164,4,104.92999999999999,104,252,104.92999999999999
C0100032211,2,368.99,45,37,368.99
C0100032238,3,867.99,182,176,867.99
C0100032285,3,447.0,302,36,447.0
C0100032315,4,616.99,62,187,616.99
C0100032498,3,212.99,37,136,212.99
C0100032585,2,438.0,29,182,438.0
C0100032662,3,248.98,25,172,248.98
C0100032757,3,287.99,88,198,287.99
C0100032773,4,432.98,56,270,432.98
C0100032793,2,268.99,101,18,268.99
C0100032821,3,149.97,144,197,149.97
C0100032869,4,325.97,5,302,325.97
C0100032932,4,227.94,2,234,227.94
C0100032938,3,352.99,184,138,352.99
C0100033031,2,378.0,210,100,378.0
C0100033033,3,146.99,148,58,146.99
C0100033110,3,182.99,31,274,182.99
C0100033127,2,233.0,178,1,233.0
C0100033162,3,302.0,174,168,302.0
C0100033194,3,327.0,19,325,327.0
C0100033259,4,266.99,58,266,266.99
C0100033315,3,637.0,129,77,637.0
C0100033326,4,273.98,209,99,273.98
C0100033338,3,387.0,87,230,387.0
C0100033408,2,808.99,55,267,808.99
C0100033496,4,327.98,75,223,327.98
C0100033563,4,205.98,175,174,205.98
C0100033591,33,926.66,19,343,926.66
C0100033609,1,49.0,324,0,49.0
C0100033644,3,238.94,270,75,238.94
C0100033676,2,458.0,147,116,458.0
C0100033696,11,559.41,57,248,559.41
C0100033698,2,1158.0,47,287,1158.0
C0100033717,2,588.0,101,190,588.0
C0100033751,4,202.9,25,188,202.9
C0100033842,2,89.98,60,134,89.98
C0100033846,4,411.99,6,294,411.99
C0100033864,4,210.99,116,187,210.99
C0100033895,3,167.99,150,163,167.99
C0100033933,5,144.42000000000002,152,64,144.42000000000002
C0100033975,13,533.42,29,324,533.42
C0100034023,41,873.61,6,352,873.61
C0100034115,4,334.98,101,220,334.98
C0100034162,1,339.0,234,0,339.0
C0100034243,42,706.1,1,327,706.1
C0100034294,3,297.99,75,272,297.99
C0100034359,4,169.93,53,278,169.93
C0100034433,19,1295.3600000000001,22,302,1295.3600000000001
C0100034512,29,405.71999999999997,51,304,405.71999999999997
C0100034529,1,149.0,26,0,149.0
C0100034575,2,198.0,76,11,198.0
C0100034620,1,89.0,351,0,89.0
C0100034649,2,565.99,90,243,565.99
C0100034690,2,178.0,109,64,178.0
C0100034731,2,308.0,54,277,308.0
C0100034757,3,133.98000000000002,7,293,133.98000000000002
C0100034825,4,428.93,33,282,428.93
C0100034827,35,1096.17,8,340,1096.17
C0100034876,15,499.86,26,337,499.86
C0100034916,10,1102.45,22,283,1102.45
C0100034952,48,1009.0,1,363,1009.0
C0100034955,3,154.99,221,137,154.99
C0100034977,1,84.0,15,0,84.0
C0100035054,2,304.99,175,108,304.99
C0100035075,1,399.0,285,0,399.0
C0100035124,4,150.97,23,283,150.97
C0100035190,10,617.92,19,345,617.92
C0100035234,2,388.0,115,227,388.0
C0100035241,2,198.0,115,67,198.0
C0100035312,3,198.94,84,105,198.94
C0100035360,2,168.0,44,98,168.0
C0100035412,2,598.0,57,58,598.0
C0100035449,3,358.98,117,243,358.98
